T_shS_1,T_shS_2,T_shS_3,T_shS_5,T_shS_6,T_shS_7,T_shS_8,T_shS_10,T_shS_41,T_shS_42,T_shS_43,T_shS_44,T_shS_45,T_shS_46,T_shS_47,T_shS_48,T_gmSB_1,T_gmSB_2,T_gmSB_3,T_gmSB_4,T_gmSB_5,T_gmSB_6
25,163333,78400,25088,25088,2250,25,29994,18816,6272,18816,6272,18816,6272,18816,6272,201899,12544,94080,6272,103488,6272
25,172855,78400,50176,50176,2325,25,33454,86016,12544,90048,12544,86016,12544,86016,12544,218092,25088,188160,12544,329280,12544
7,43129,38416,25088,25088,651,7,17820,48048,6272,44800,6272,70784,6272,70784,6272,86702,12544,144256,6272,153664,6272
7,43398,76048,25088,25088,651,7,33948,46848,6272,74880,6272,74880,6272,50352,6272,140731,12544,244608,6272,65856,6272
2,10685,19012,12544,12544,186,2,11019,71232,3136,42252,3136,9408,3136,9408,3136,40710,6272,122304,3136,35280,3136
4,29310,75656,12544,12544,452,4,21443,34636,3136,34636,3136,56896,3136,56896,3136,112365,6272,222656,3136,0,3136
4,14512,37828,6272,6272,452,4,11883,22883,1568,22883,1568,22883,1568,22883,1568,57431,3136,111328,1568,0,1568
8,53600,150920,6272,6272,1416,8,23323,39102,1568,39102,1568,39102,1568,39102,1568,186547,3136,211680,1568,0,1568
8,53600,150920,6272,6272,1416,8,23323,39102,1568,39102,1568,39102,1568,39102,1568,186547,3136,211680,1568,0,1568
8,53600,150920,6272,6272,1416,8,23323,39102,1568,39102,1568,39102,1568,39102,1568,186547,3136,211680,1568,0,1568
8,53600,150920,6272,6272,1416,8,23323,39102,1568,39102,1568,39102,1568,39102,1568,186547,3136,211680,1568,0,1568
8,53600,150920,6272,6272,1416,8,23323,39102,1568,39102,1568,39102,1568,39102,1568,186547,3136,211680,1568,0,1568
16,26848,80080,3328,3328,2832,16,35671,20748,832,20748,832,20748,832,20748,832,122791,1664,112320,832,0,832
32,102848,319904,3328,3328,9760,32,70551,27976,832,27976,832,27976,832,27976,832,402871,1664,218816,832,0,832
32,128,24608,250,250,9725,32,65948,2146,62,1904,63,2149,63,2146,62,92747,126,16569,63,0,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
